id,planejamento_id,ano,mes,periodo,data,despesas_basicas,despesas_dependentes,despesas_estilo,despesas_viagens,despesas_patrimoniais,financiamento_1,financiamento_2,financiamento_3,financiamento_4,financiamento_5,receita_ativa,receita_passiva,receita_patrimonio,inss,venda_ativos,desembolso_objetivos,despesas_totais,receitas_totais,cs,portfolio_inicial,total_vendas,projetos,saving,renta_dolar,portfolio_final,projetos_brl,projetos_usd,caixa,longevidade,gerado_em,versao
403,2,2056,7,57161,2056-07-01,23000,0,13000,55426,1000,0,0,0,0,0,0,10000,0,0,0,0,92426,10000,0,23718894.81,0,0,-82426,0,23714118.3,0,0,0,0,2025-08-13 11:18:16.252189,1
404,2,2056,8,57192,2056-08-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23714118.3,0,0,-27000,0,23764752.15,0,0,0,0,2025-08-13 11:18:16.455693,1
405,2,2056,9,57223,2056-09-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23764752.15,0,0,-27000,0,23815551.77,0,0,0,0,2025-08-13 11:18:16.616403,1
406,2,2056,10,57253,2056-10-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23815551.77,0,0,-27000,0,23866517.69,0,0,0,0,2025-08-13 11:18:16.789061,1
407,2,2056,11,57284,2056-11-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23866517.69,0,0,-27000,0,23917650.46,0,0,0,0,2025-08-13 11:18:17.025861,1
408,2,2056,12,57314,2056-12-01,23000,0,13000,55426,1000,0,0,0,0,0,0,10000,0,0,0,0,92426,10000,0,23917650.46,0,0,-82426,0,23913524.62,0,0,0,0,2025-08-13 11:18:17.228305,1
409,2,2057,1,57345,2057-01-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23913524.62,0,0,-27000,0,23964811.28,0,0,0,0,2025-08-13 11:18:17.412834,1
410,2,2057,2,57376,2057-02-01,23000,0,13000,0,2200,0,0,0,0,0,0,10000,0,0,0,0,38200,10000,0,23964811.28,0,0,-28200,0,24015065.83,0,0,0,0,2025-08-13 11:18:17.573671,1
411,2,2057,3,57404,2057-03-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,24015065.83,0,0,-27000,0,24066684.91,0,0,0,0,2025-08-13 11:18:17.742434,1
412,2,2057,4,57435,2057-04-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,24066684.91,0,0,-27000,0,24118472.97,0,0,0,0,2025-08-13 11:18:17.919239,1
413,2,2057,5,57465,2057-05-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,24118472.97,0,0,-27000,0,24170430.58,0,0,0,0,2025-08-13 11:18:18.075623,1
